,term,definition
237,Low-Documentation Loan,"A mortgage requiring less income/asset verification than conventional loans, often for self-employed borrowers or those who choose not to disclose income details."
238,Low-Down Mortgages,"Loans requiring a small down payment (usually less than 10%), often offered to first-time buyers, veterans, etc. May require private mortgage insurance (PMI)."
239,Maxed Out,"Using the entire credit limit on a credit card or line of credit, which harms credit scores."
240,Merged Credit Report,"A 3-in-1 credit report showing data from TransUnion, Equifax, and Experian side-by-side for easy comparison."
241,Minimum Payment,The minimum amount required to pay toward credit card debt each month.
242,Mortgage Banker,"A person or company originating home loans, selling them to investors, and processing payments."
243,Mortgage Broker,A person or company matching lenders with borrowers but not directly making loans.
244,Mortgage Interest Expense,"Interest paid on a mortgage loan, which is tax-deductible up to certain limits."
245,Mortgage Refinance,"Replacing an old loan with a new mortgage, often to secure a lower interest rate, reduce monthly payments, or access equity."
246,Negative Amortization,"When minimum payments do not cover interest charges, causing the debt balance to increase."
247,Net Income,"Income after taxes and withholdings, also known as take-home pay."
248,Notice of Reaffirmed Debts,"A warning about old debts being included in new credit card offers, often from issuers who buy old debts."
249,Opt-Out,The ability to stop pre-approved credit card or marketing offers by calling 1-888-5-OPT-OUT.
250,Open Debts,"Debts due in full at the end of each month, such as traditional American Express cards."
251,Over-Limit Fee,"A fee charged when spending exceeds the credit limit, typically 10?10?50. Under the CARD Act, consent is required, and only one fee per billing cycle is allowed."
252,Periodic Expenses,"Expenses occurring less frequently than monthly, such as annual insurance premiums or property taxes."
253,Periodic Rate,"The interest rate charged each billing period, calculated by dividing the APR by 12."
254,Permissible Purpose,Guidelines under the FCRA regulating when and by whom credit data can be accessed.
255,Person to Person Loan,"Direct financing for a vehicle, bypassing dealership loans."
256,PITI,"Acronym for Principal, Interest, Taxes, and Insurancethe four components of a mortgage payment."
257,Point,"A unit equal to 1% of a mortgage loan, used to measure fees or reduce interest rates."
258,Pre-Approval Letter,"A lenders estimate of how much a borrower can borrow, based on credit history and current rates. Not binding but useful for home shopping."
259,Prepayment Penalty,"A fee charged for paying off a loan early, uncommon in standard loans but sometimes included in subprime loans."
260,Pre-Qualification Letter,A non-binding evaluation of a borrowers finances to determine loan eligibility. Less formal than a pre-approval letter.
261,Principal,"The amount borrowed or owed, excluding interest."
262,Private Mortgage Insurance (PMI),"Insurance protecting lenders if a borrower defaults, typically required for down payments less than 20%."
263,Promotional Inquiry,"A soft inquiry made by creditors to send pre-approved offers, which does not harm credit scores."
